,n,pmid,pub_year,doi,cited
0,138,3582736,1987,10.1016/0012-1606(87)90181-3,10.1111/j.1432-1033.1978.tb12547.x
1,139,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0012-1606(81)90452-8
2,140,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0014-4827(76)90681-9
3,141,3582736,1987,10.1016/0012-1606(87)90181-3,10.1111/j.1432-1033.1980.tb04459.x
4,142,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0003-2697(82)90558-9
5,143,3582736,1987,10.1016/0012-1606(87)90181-3,10.1021/bi00321a074
6,144,3582736,1987,10.1016/0012-1606(87)90181-3,10.1126/science.1237932
7,145,3582736,1987,10.1016/0012-1606(87)90181-3,10.1111/j.1432-1033.1977.tb11666.x
8,146,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0012-1606(84)90083-6
9,147,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/s0022-5320(69)80046-8
10,148,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0014-5793(76)80704-1
11,149,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/s0091-679x(08)60347-7
12,150,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0012-1606(85)90026-0
13,151,3582736,1987,10.1016/0012-1606(87)90181-3,10.1111/j.1432-1033.1977.tb11665.x
14,152,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/s0074-7696(08)61061-x
15,153,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/0014-4827(72)90020-1
16,154,3582736,1987,10.1016/0012-1606(87)90181-3,10.1016/s0021-9258(18)33946-2
17,180,6307269,1983,10.1042/bj2100717,
18,261,2546549,1989,10.1016/0006-291x(89)91957-8,10.1038/227680a0
19,262,2546549,1989,10.1016/0006-291x(89)91957-8,10.1002/path.1711420112
20,263,2546549,1989,10.1016/0006-291x(89)91957-8,10.1016/0003-2697(77)90627-3
21,264,2546549,1989,10.1016/0006-291x(89)91957-8,10.1007/978-1-4684-8326-0_32
22,265,2546549,1989,10.1016/0006-291x(89)91957-8,10.1016/s0021-9258(18)47561-8
23,266,2546549,1989,10.1016/0006-291x(89)91957-8,10.1042/bj2240001
24,267,2546549,1989,10.1016/0006-291x(89)91957-8,10.1038/327062a0
25,268,2546549,1989,10.1016/0006-291x(89)91957-8,10.1002/path.1711580207
26,269,2546549,1989,10.1016/0006-291x(89)91957-8,10.1016/s0074-7696(08)62312-8
27,270,2546549,1989,10.1016/0006-291x(89)91957-8,10.1002/path.1711160302
28,271,2546549,1989,10.1016/0006-291x(89)91957-8,10.1038/bjc.1972.33
29,445,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0167-4781(86)90035-7
30,446,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0005-2760(88)90223-8
31,447,2493218,1989,10.1016/0003-9861(89)90139-2,10.1007/bf02544635
32,448,2493218,1989,10.1016/0003-9861(89)90139-2,10.1002/em.2860060412
33,449,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0014-4800(69)90041-0
34,450,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0006-291x(72)90696-1
35,451,2493218,1989,10.1016/0003-9861(89)90139-2,10.1126/science.6351251
36,452,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0009-2797(79)90047-4
37,453,2493218,1989,10.1016/0003-9861(89)90139-2,10.1042/bj1800303
38,454,2493218,1989,10.1016/0003-9861(89)90139-2,10.1146/annurev.pa.16.040176.001013
39,455,2493218,1989,10.1016/0003-9861(89)90139-2,10.1042/bj2280363
40,456,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/s0006-291x(74)80259-7
41,457,2493218,1989,10.1016/0003-9861(89)90139-2,10.1111/j.1432-1033.1968.tb00355.x
42,458,2493218,1989,10.1016/0003-9861(89)90139-2,10.1016/0165-1110(88)90022-x
